model,input_source,block_id,bandwidth_mbps,existing_latency_ms,global_opt_latency_ms,absolute_gap_ms,gap_percent
inception_v3,cifar10,Mixed_5b,100.0,71.56341997106374,71.50131196613236,0.062108004931374694,0.0867873628125762
inception_v3,cifar10,Mixed_5c,100.0,72.04679996837675,71.97593996898084,0.07085999939590693,0.09835273659206135
inception_v3,cifar10,Mixed_5d,100.0,72.14923999170585,72.08376798677072,0.06547200493513117,0.09074524546988674
inception_v3,cifar10,Mixed_6a,100.0,51.57927600814923,51.50875601367056,0.07051999447866564,0.13672156714166342
inception_v3,cifar10,Mixed_6b,100.0,45.27090402070149,44.0927320134984,1.178172007203088,2.602492776959641
inception_v3,cifar10,Mixed_6c,100.0,51.47697602478996,50.04667199762747,1.4303040271624923,2.7785315642350388
inception_v3,cifar10,Mixed_6d,100.0,51.46399197248951,50.0374999883233,1.426491984166212,2.771825366615079
inception_v3,cifar10,Mixed_6e,100.0,57.69652398015142,55.45974797514037,2.236776005011052,3.876795083496782
inception_v3,cifar10,Mixed_7a,100.0,15.445280022136718,15.445280022136718,0.0,0.0
inception_v3,cifar10,Mixed_7b,100.0,27.607387999500183,24.76661198810279,2.8407760113973914,10.289912292495117
inception_v3,cifar10,Mixed_7c,100.0,27.974647978748237,25.26439997638181,2.710248002366427,9.688229158148287
inception_v3,cifar10,Mixed_5b,1000.0,9.697868048344557,9.62660803891793,0.07126000942662714,0.7348007734420695
inception_v3,cifar10,Mixed_5c,1000.0,9.95418401168734,9.883948012386265,0.07023599930107594,0.705592735864747
inception_v3,cifar10,Mixed_5d,1000.0,10.003968029879776,9.932868028656392,0.07110000122338356,0.7107179972089337
inception_v3,cifar10,Mixed_6a,1000.0,13.796156037764968,12.2990160889754,1.4971399487895685,10.8518629732178
inception_v3,cifar10,Mixed_6b,1000.0,8.078415979148538,8.019215975405368,0.059200003743169916,0.7328169766941065
inception_v3,cifar10,Mixed_6c,1000.0,8.74214803039676,8.674188025143206,0.06796000525355339,0.777383373253965
inception_v3,cifar10,Mixed_6d,1000.0,8.46703601939252,8.404428012982219,0.06260800641030073,0.7394323853932611
inception_v3,cifar10,Mixed_6e,1000.0,9.965475972453833,9.88427998748678,0.08119598496705294,0.8147727734379332
inception_v3,cifar10,Mixed_7a,1000.0,6.743140011212946,6.676924016910761,0.06621599430218428,0.981975669970902
inception_v3,cifar10,Mixed_7b,1000.0,7.710147996886909,7.710147996886909,0.0,0.0
inception_v3,cifar10,Mixed_7c,1000.0,9.469619962374956,9.469619962374956,0.0,0.0
