model,input_source,block_id,block_type,branches,branch_lengths,per_branch_candidate_counts,combination_count,existing_latency_ms,global_opt_latency_ms,absolute_gap_ms,loss_percent,device_busy_ms,tx_busy_ms,server_busy_ms,bottleneck_stage,cost_model,status
inception_v3,cifar10,Mixed_5b,inception,4,"[3, 6, 9, 5]","[3, 6, 9, 5]",810,9.697868048344555,9.62660803891793,0.07126000942662448,0.7348007734420424,2.9469601344317193,6.8991999999999996,2.8055840078741316,tx,fx_node_measured_proxy_repeat_avg,evaluated
inception_v3,cifar10,Mixed_5c,inception,4,"[3, 6, 9, 5]","[3, 6, 9, 5]",810,9.954184011687339,9.883948012386263,0.070235999301076,0.7055927358647479,3.3154399599879985,6.8991999999999996,2.723644019570202,tx,fx_node_measured_proxy_repeat_avg,evaluated
inception_v3,cifar10,Mixed_5d,inception,4,"[3, 6, 9, 5]","[3, 6, 9, 5]",810,10.003968029879777,9.932868028656392,0.07110000122338526,0.7107179972089506,3.276176042854786,6.8991999999999996,2.7608800400048494,tx,fx_node_measured_proxy_repeat_avg,evaluated
inception_v3,cifar10,Mixed_6a,inception,3,"[3, 9, 2]","[3, 9, 2]",54,13.796156037764968,12.299016088975401,1.4971399487895676,10.851862973217791,10.869456091895701,4.43904,0.7312120054848493,device,fx_node_measured_proxy_repeat_avg,evaluated
inception_v3,cifar10,Mixed_6b,inception,4,"[3, 9, 15, 5]","[3, 9, 15, 5]",2025,8.078415979148538,8.019215975405368,0.059200003743171276,0.7328169766941233,3.993983985856176,4.143104,3.353515984490514,tx,fx_node_measured_proxy_repeat_avg,evaluated
inception_v3,cifar10,Mixed_6c,inception,4,"[3, 9, 15, 5]","[3, 9, 15, 5]",2025,8.74214803039676,8.674188025143206,0.06796000525355339,0.777383373253965,4.230816038325429,4.7349760000000005,3.6477200197987267,tx,fx_node_measured_proxy_repeat_avg,evaluated
inception_v3,cifar10,Mixed_6d,inception,4,"[3, 9, 15, 5]","[3, 9, 15, 5]",2025,8.46703601939252,8.404428012982219,0.06260800641029983,0.7394323853932505,3.850336009636521,4.7349760000000005,3.388975989073515,tx,fx_node_measured_proxy_repeat_avg,evaluated
inception_v3,cifar10,Mixed_6e,inception,4,"[3, 9, 15, 5]","[3, 9, 15, 5]",2025,9.965475972453833,9.88427998748678,0.08119598496705328,0.8147727734379366,4.711263934150338,5.326848,4.417663961648941,tx,fx_node_measured_proxy_repeat_avg,evaluated
inception_v3,cifar10,Mixed_7a,inception,3,"[6, 12, 2]","[6, 12, 2]",144,6.743140011212946,6.676924016910761,0.06621599430218367,0.981975669970893,3.013151977211237,3.551232,2.2521880292333663,tx,fx_node_measured_proxy_repeat_avg,evaluated
inception_v3,cifar10,Mixed_7b,inception,6,"[3, 6, 4, 9, 4, 5]","[3, 6, 4, 9, 4, 5]",12960,7.710147996886909,7.710147996886909,0.0,0.0,4.5366560108959675,2.359296,3.3881119871512055,device,fx_node_measured_proxy_repeat_avg,evaluated
inception_v3,cifar10,Mixed_7c,inception,6,"[3, 6, 4, 9, 4, 5]","[3, 6, 4, 9, 4, 5]",12960,9.469619962374956,9.469619962374956,0.0,0.0,6.176495952531695,2.359296,3.449399983510375,device,fx_node_measured_proxy_repeat_avg,evaluated
